,sales_rate_comparison,avg_rate_compt,weekday_sazonality_guh,occup_competitors,imat_sp,event_sazonality_guh
2023-06-22,-100.00%,502.26,4,0.6872,1.08,0
2023-06-23,-79.13%,583.11,5,0.6872,1.08,0
2023-06-24,-46.07%,535.80,5,0.6872,1.08,0
2023-06-25,-59.60%,429.32,1,0.6872,1.08,0
2023-06-26,-100.00%,443.98,2,0.6872,1.08,0
2023-06-27,-60.00%,477.44,3,0.6872,1.08,0
2023-06-28,-91.11%,457.55,3,0.6872,1.08,0
2023-06-29,-80.00%,482.66,4,0.6872,1.08,0
2023-06-30,-80.37%,443.01,5,0.6872,1.08,0
2023-07-01,-92.04%,442.72,5,0.5951,1.0033,0
2023-07-02,-85.59%,401.68,1,0.5951,1.0033,0
2023-07-03,-92.59%,430.35,2,0.5951,1.0033,0
2023-07-04,-87.10%,494.12,3,0.5951,1.0033,0
2023-07-05,-66.10%,503.67,3,0.5951,1.0033,0
2023-07-06,-91.84%,392.22,4,0.5951,1.0033,0
2023-07-07,-67.12%,484.63,5,0.5951,1.0033,0
2023-07-08,-87.37%,477.89,5,0.5951,1.0033,0
2023-07-09,-74.05%,469.70,1,0.5951,1.0033,0
2023-07-10,-61.90%,421.44,2,0.5951,1.0033,0
2023-07-11,-84.47%,442.93,3,0.5951,1.0033,0
2023-07-12,-56.25%,487.47,3,0.5951,1.0033,0
2023-07-13,-61.90%,521.55,4,0.5951,1.0033,0
2023-07-14,-82.02%,506.19,5,0.5951,1.0033,0
2023-07-15,-82.38%,466.43,5,0.5951,1.0033,0
2023-07-16,-75.10%,439.10,1,0.5951,1.0033,0
2023-07-17,-91.21%,439.77,2,0.5951,1.0033,0
2023-07-18,-91.75%,404.64,3,0.5951,1.0033,0
2023-07-19,-100.00%,410.16,3,0.5951,1.0033,0
2023-07-20,-85.19%,474.20,4,0.5951,1.0033,0
2023-07-21,-78.18%,485.39,5,0.5951,1.0033,0
2023-07-22,-69.23%,483.58,5,0.5951,1.0033,0
2023-07-23,-89.04%,468.90,1,0.5951,1.0033,0
2023-07-24,-79.13%,455.78,2,0.5951,1.0033,0
2023-07-25,-93.10%,419.78,3,0.5951,1.0033,0
2023-07-26,-63.36%,491.49,3,0.5951,1.0033,0
2023-07-27,-76.47%,470.56,4,0.5951,1.0033,0
2023-07-28,-88.97%,428.20,5,0.5951,1.0033,0
2023-07-29,-78.38%,487.34,5,0.5951,1.0033,0
2023-07-30,-29.20%,542.73,1,0.5951,1.0033,0
2023-07-31,-42.86%,612.09,2,0.5951,1.0033,0
2023-08-01,-63.16%,559.93,3,0.6278,1.0033,0
2023-08-02,-70.12%,481.66,3,0.6278,1.0033,0
2023-08-03,-86.11%,473.19,4,0.6278,1.0033,0
2023-08-04,-93.33%,410.04,5,0.6278,1.0033,0
2023-08-05,-73.63%,449.22,5,0.6278,1.0033,0
2023-08-06,-83.42%,458.31,1,0.6278,1.0033,0
2023-08-07,-69.23%,513.51,2,0.6278,1.0033,0
2023-08-08,-45.45%,533.66,3,0.6278,1.0033,0
2023-08-09,-55.91%,513.16,3,0.6278,1.0033,0
2023-08-10,-96.10%,478.32,4,0.6278,1.0033,0
2023-08-11,-80.77%,426.36,5,0.6278,1.0033,0
2023-08-12,-81.40%,383.81,5,0.6278,1.0033,0
2023-08-13,-43.66%,535.81,1,0.6278,1.0033,0
2023-08-14,-58.76%,633.59,2,0.6278,1.0033,0
2023-08-15,-58.26%,653.26,3,0.6278,1.0033,0
2023-08-16,-60.33%,553.88,3,0.6278,1.0033,0
2023-08-17,-77.67%,436.55,4,0.6278,1.0033,0
2023-08-18,-52.94%,488.44,5,0.6278,1.0033,0
2023-08-19,-86.21%,402.27,5,0.6278,1.0033,0
2023-08-20,-93.00%,411.49,1,0.6278,1.0033,0
2023-08-21,-83.84%,417.87,2,0.6278,1.0033,0
2023-08-22,-81.10%,414.58,3,0.6278,1.0033,0
2023-08-23,-75.26%,451.20,3,0.6278,1.0033,0
2023-08-24,-73.72%,471.51,4,0.6278,1.0033,0
2023-08-25,-76.33%,648.91,5,0.6278,1.0033,0
2023-08-26,-77.14%,535.12,5,0.6278,1.0033,0
2023-08-27,-78.88%,441.60,1,0.6278,1.0033,0
2023-08-28,-66.94%,435.63,2,0.6278,1.0033,0
2023-08-29,-54.02%,462.75,3,0.6278,1.0033,0
2023-08-30,-67.68%,482.80,3,0.6278,1.0033,0
2023-08-31,-54.29%,488.34,4,0.6278,1.0033,0
